"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDSORA-TRIFGEMTAL30","*"
"2023-11-01","PDSORA-TRIFGM","392857"
"2023-11-01","PDSORA-TRIFGMTAG30","54235"
"2023-11-01","PDSORA-TRIFGMTAL30","38751"
"2023-11-01","PDSORA-TRIO","28103"
"2023-11-01","PDSORA-TRIOTAG30","7497"
"2023-11-01","PDSORA-TRIOTAL30","*"
"2023-11-01","PDSORA-TRIUTSET","550482"
"2023-11-01","PDSORA-TRIUTSETTAG30","22631"
"2023-11-01","PDSORA-TRIUTSETTAL30","22054"
"2023-11-01","PDSORA-TRIUTST","71784"
"2023-11-01","PDSORA-TRIUTSTTAG30","2709"
"2023-11-01","PDSORA-TRIUTSTTAL30","388"
"2023-11-01","PDSORA-UBGABS","0"
"2023-11-01","PDSORA-UBGABSTAG30","0"
"2023-11-01","PDSORA-UBGABSTAL30","0"
"2023-11-01","PDSORA-UBGCD","1653"
"2023-11-01","PDSORA-UBGCDTAG30","*"
"2023-11-01","PDSORA-UBGCDTAL30","*"
"2023-11-01","PDSORA-UBGE","*"
"2023-11-01","PDSORA-UBGETAG30","0"
"2023-11-01","PDSORA-UBGETAL30","0"
"2023-11-01","PDSORA-UBGFGCM","0"
"2023-11-01","PDSORA-UBGFGCMTAG30","0"
"2023-11-01","PDSORA-UBGFGCMTAL30","0"
"2023-11-01","PDSORA-UBGFGEM","*"
"2023-11-01","PDSORA-UBGFGEMTAG30","0"
"2023-11-01","PDSORA-UBGFGEMTAL30","0"
"2023-11-01","PDSORA-UBGFGM","1516"
"2023-11-01","PDSORA-UBGFGMTAG30","*"
"2023-11-01","PDSORA-UBGFGMTAL30","0"
"2023-11-01","PDSORA-UBGO","*"
"2023-11-01","PDSORA-UBGOTAG30","0"
"2023-11-01","PDSORA-UBGOTAL30","0"
"2023-11-01","PDSORA-UBGUTSET","72197"
"2023-11-01","PDSORA-UBGUTSETTAG30","20104"
"2023-11-01","PDSORA-UBGUTSETTAL30","19960"
"2023-11-01","PDSORA-UBGUTST","24194"
"2023-11-01","PDSORA-UBGUTSTTAG30","*"
"2023-11-01","PDSORA-UBGUTSTTAL30","*"
"2023-11-01","PDSORA-UBSABS","914"
"2023-11-01","PDSORA-UBSABSTAG30","1315"
"2023-11-01","PDSORA-UBSABSTAL30","*"
"2023-11-01","PDSORA-UBSCD","10112"
"2023-11-01","PDSORA-UBSCDTAG30","7129"
"2023-11-01","PDSORA-UBSCDTAL30","3196"
